,text,cleaned_text,topics
0,"""Ah, yes. I just love waking up to the sweet aroma of political chaos and corruption in the morning. It's like a breath of fresh air...if that air was filled with hot garbage."" #politics #sarcasm", ah yes just love waking up to the sweet aroma of political chaos and corruption in the morning it like breath of fresh air if that air was filled with hot garbage politics sarcasm,[2]
1,"When @ViolavonCramon
flies to Georgia 🇬🇪 to take part in a protest to support a person accused of using molotov cocktails against the police, who pays her expenses?

#100corruptMEPs
#zombieNGOs #Corruption

@KubiliusA
@shpapuashvili
@AnnaFotyga_PE 

https://t.co/bS4NsgewiK",when flies to georgia to take part in protest to support person accused of using molotov cocktails against the police who pays her expenses corruptmeps zombiengos corruption pe ,[2]
2,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/lDZeRsplUK via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
3,"It’s April 03, 2023 at 12:29PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/779xDOUZgE",it april at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[3]
4,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zlXcbSqXjv
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
5,"Introducing our national colleagues who are working with us in Abuja since January. We are proud to have such talented team members on board!  Their work &amp; dedication have been invaluable to @eueomNigeria23. It’s been a pleasure working with you all!
#teamwork #NigeriaDecides2023 https://t.co/gLEhItLlFM",introducing our national colleagues who are working with us in abuja since january we are proud to have such talented team members on board their work amp dedication have been invaluable to it been pleasure working with you all teamwork nigeriadecides ,"[2, 3]"
6,"#MondayMotivation #GetInvolved
Good governance requires our participation as citizens.

We can begin by condemning corruption and injustice, participating in local and national politics, staying informed and getting actively involved.

#NewWeek 👍💪 https://t.co/lgPsAqKxU3", mondaymotivation getinvolved good governance requires our participation as citizens we can begin by condemning corruption and injustice participating in local and national politics staying informed and getting actively involved newweek ,"[2, 3]"
7,EXACTLY! DEMOCRATS ARE SHOWING THEIR FEAR OF FURTHER EXPOSURE OF THEIR CORRUPTNESS BECAUSE OF PRESIDENT TRUMP! Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/AeG8T9XXBG,exactly democrats are showing their fear of further exposure of their corruptness because of president trump exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,"[2, 5]"
8,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/G0quqT4ixU
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
9,"2023 Elections: Nigeria’s Voter Turnout Drops To The Lowest  https://t.co/FUih61l6WI
#2023elections #NigerianElections2023 #NigeriaDecides2023", elections nigeria voter turnout drops to the lowest elections nigerianelections nigeriadecides,"[2, 4]"
10,Senior officials to take over China’s football body amid corruption crackdown https://t.co/aa0VxUPMnU via @scmpnews,senior officials to take over china football body amid corruption crackdown via ,"[2, 3]"
11,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/qsLgyZoodM via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
12,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/I9BUzmOYIE
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
13,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/9gPqpoVgbj,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
14,"Judiciary is not the name of a judge and politics is not only for one party.
Imran should do corruption, defame institutions, attacks on courts, no notice Why is this Bandial's lover?
If the scales of justice will not be equal, then we pledge to Bandial 
#WeRejectOneManShow https://t.co/af3oxGJZc6",judiciary is not the name of judge and politics is not only for one party imran should do corruption defame institutions attacks on courts no notice why is this bandial lover if the scales of justice will not be equal then we pledge to bandial werejectonemanshow ,[2]
15,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/0iKvOMD9JL via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
16,Power begets corruption on the City Council https://t.co/kHjFvFSgpq,power begets corruption on the city council ,"[1, 2]"
17,Senior officials to take over China’s football body amid corruption crackdown https://t.co/RbXTegXc37,senior officials to take over china football body amid corruption crackdown ,"[2, 3]"
18,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/HtjumzWCr1
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
19,"That’s well and good, but he should have made a far more aggressive effort doing that in 2017.

https://t.co/XBx7Em2E7c",that well and good but he should have made far more aggressive effort doing that in ,[3]
20,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/HCWbS5qkpd via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
21,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/PhdpLLu5bj
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
22,#NigeriaDecides2023: Crisis should neither be foisted on Nigeria nor the country brought to an end even if the winner of the election was not the one declared elected., nigeriadecides crisis should neither be foisted on nigeria nor the country brought to an end even if the winner of the election was not the one declared elected ,"[1, 2]"
23,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/HLxtUp7z8T,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
24,"""OUR MAGA #47 will Win and yes, take out DC Corruption"".......Ron  

""Democrats are afraid he will enter the Oval Office again because he will “let the truth ring out” and take down corruption in D.C."" 

https://t.co/cfMVKD9mCu", our maga will win and yes take out dc corruption ron democrats are afraid he will enter the oval office again because he will let the truth ring out and take down corruption in ,[2]
25,A Corrupt Government Attacking a political enemy of its Corruption is an old story…Nelson Mandela  Donald Trump #MandelaTrump #GovernmentCorruption #politics #FJB #NancyPelosi https://t.co/9H1rovfNDC,a corrupt government attacking political enemy of its corruption is an old story nelson mandela donald trump mandelatrump governmentcorruption politics fjb nancypelosi ,"[1, 2]"
26,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/3u6W3HTkKl,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
27,....#Nigerians now know the politicians &amp; bandits are in a joint enterprise or how else does anyone explain the suspension of much of the killing &amp; rapine during #NigeriaDecides2023? We now know why the violence is so chronic. https://t.co/cZ0VNWNYAJ, nigerians now know the politicians amp bandits are in joint enterprise or how else does anyone explain the suspension of much of the killing amp rapine during nigeriadecides we now know why the violence is so chronic ,[2]
28,"The #Russian National Anti-Terrorism Committee revealed that the #Ukrainian Special Services and the supporters of the extremist Anti-Corruption Foundation (FBK) planned the terrorist attack. 

#Russia
#Trepova
#Tatarsky https://t.co/9niaPqa0IE",the russian national anti terrorism committee revealed that the ukrainian special services and the supporters of the extremist anti corruption foundation fbk planned the terrorist attack russia trepova tatarsky ,"[2, 3]"
29,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/v3Pf2jnw7O,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
30,"Fantastic panel on the politics of corruption with both quantitative and qualitative works from Hungary, Israel and Switzerland @irspm 

#IRSPM2023 https://t.co/sn4ZLzGJtw",fantastic panel on the politics of corruption with both quantitative and qualitative works from hungary israel and switzerland irspm ,"[2, 3]"
31,🚨 CORRUPTION MUST GO 🚨🇺🇲🇺🇲🇺🇲Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/PeY1bWMtSz, corruption must go exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,"[2, 5]"
32,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/BjjcVBaKaq,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
33,"I try my absolute best to stay out of politics and Wall Street, due to their corruption, and that for some reason, us sheeple can’t organize enough to stop it. Look at France… Like, yikes 😳 Yet, this second major bailout has been bothering me, because it’s just a pure example… https://t.co/7L3dTZWszP",i try my absolute best to stay out of politics and wall street due to their corruption and that for some reason us sheeple can organize enough to stop it look at france like yikes yet this second major bailout has been bothering me because it just pure example ,"[2, 3]"
34,"I try my absolute best to stay out of politics and Wall Street, due to their corruption, and that for some reason, us sheeple can’t organize enough to stop it. Look at France… Like, yikes 😳 Yet, this second major bailout has been bothering me, because it’s just a pure example… https://t.co/FEOFeAhmET",i try my absolute best to stay out of politics and wall street due to their corruption and that for some reason us sheeple can organize enough to stop it look at france like yikes yet this second major bailout has been bothering me because it just pure example ,"[2, 3]"
35,Hi.#ILAND2 #Denmark #AgustD_SUGA_Tour_in_bangkok #DreamvilleFest #WrestleMania39 #NigeriaDecides2023 @viviancbk @kimyaf @babiiwg @yasswhitney @Nikiwe_Shakur .thanks. https://t.co/wwgCrAqG4W,hi iland denmark agustd suga tour in bangkok dreamvillefest wrestlemania nigeriadecides shakur thanks ,[2]
36,"It’s April 03, 2023 at 11:31AM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/18lfQ4q1xq",it april at am stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,[0]
37,"IMPEACH TEAM FUCK UP 
KNOWN CORRUPTION 
EVERY OFFICIAL an embarrassment 

https://t.co/zOYO82Igxn",impeach team fuck up known corruption every official an embarrassment ,"[2, 3]"
38,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/FoNWnYv2Wq
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
39,"I try my absolute best to stay out of politics and Wall Street, due to their corruption and us sheeple that for some reason can’t organize enough to stop it. Yet, this second major bailout has been bothering me, because it’s just a pure example that neither outfit cares. I cant… https://t.co/hSoPwvMXWk",i try my absolute best to stay out of politics and wall street due to their corruption and us sheeple that for some reason can organize enough to stop it yet this second major bailout has been bothering me because it just pure example that neither outfit cares cant ,"[1, 2, 3]"
40,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/CRhbHd4TJh
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
41,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/avECg9wsk5 via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
42,"APC DOOM IS NEXT
CLICK SND READ FOR YOURSELF
#yesdaddy
#NigeriaDecides2023
 https://t.co/lRWdeoAPdg",apc doom is next click snd read for yourself yesdaddy nigeriadecides ,"[1, 2]"
43,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation.......

https://t.co/j7yQ64keoE

via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
44,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/4EMwA2HwLv via @BreitbartNews,exclusive rep jeff van drew democrats afraid of trump in via ,[5]
45,"Does it mean @officialABAT will lose his ex governor title if actually he is guilty of the purpoted narcotics deal?
#NigeriaDecides2023
@PeterObi @NgLabour",does it mean will lose his ex governor title if actually he is guilty of the purpoted narcotics deal nigeriadecides ,"[1, 2, 3, 4]"
46,Senior officials to take over China’s football body amid corruption crackdown  https://t.co/oPTYmjXA8O,senior officials to take over china football body amid corruption crackdown ,"[2, 3]"
47,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/3VQrNANvRE,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
48,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/BhqVzDLRMJ,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
49,"A CALL FOR THE 2023 PRESIDENTIAL ELECTION PETITION PROCEEDINGS TO BE BROADCAST LIVE ON TV - Sign the Petition! https://t.co/9LPcEi8MaZ via @changeorgng

#Petition #BBTitans #electionpetitiontribunal #NigeriaDecides2023",a call for the presidential election petition proceedings to be broadcast live on tv sign the petition via petition bbtitans electionpetitiontribunal nigeriadecides,"[2, 4]"
50,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/tpnoUuLqDr,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,[5]
51,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/apjwnt6n7h
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
52,"Amid the ongoing fistfight between the Congress and the BJP, the latter released a video in which the “corruption cases” during the ten years of UPA rule between 2004-2014 were unearthed.

Source: India Today
#feedmile #BJP #politics #congressfiles #Congress #rahulgandhi https://t.co/sRnCwT4ycz",amid the ongoing fistfight between the congress and the bjp the latter released video in which the corruption cases during the ten years of upa rule between were unearthed source india today feedmile bjp politics congressfiles congress rahulgandhi ,[2]
53,"Ed Helms: ""Politics is pretty f$*ked"". Watch Ed Helms and RepresentUs CEO Josh Graham Lynn break down the root causes of corruption in our political system, and how we, the people, can fix things. https://t.co/bMNwEkoCQm",ed helms politics is pretty ked watch ed helms and representus ceo josh graham lynn break down the root causes of corruption in our political system and how we the people can fix things ,[2]
54,"Spare no corrupt person, even those in power: PM Modi at CBI diamond jubilee | WATCH

https://t.co/L9zG9AOBne",spare no corrupt person even those in power pm modi at cbi diamond jubilee watch ,[2]
55,"Good morning, 
Will the PEPT &amp; SC finish the hearing before swearing in?
What happens if they don't finish the case?
Can a President be sworn in with a pending court case? 
 #NigeriaDecides2023
@AbdulMahmud01,@chymaker, @ayosogunro,@Devttorney, @LawyersObi4Obi, @democracy_watch",good morning will the pept amp sc finish the hearing before swearing in what happens if they don finish the case can president be sworn in with pending court case nigeriadecides watch,[2]
56,"'They are very powerful people': PM Modi's advice to CBI on corruption accused

Watch here: https://t.co/42UkMVrNjJ https://t.co/lkG0oiOcgT", they are very powerful people pm modi advice to cbi on corruption accused watch here ,[2]
57,"TO WHOM IT MAY CONSIDER 📢

A quick reminder 👇
#NigeriaDecides2023 
#NigeriaElections2023
#Nigeria 
🇳🇬 https://t.co/N24AdGYrAu",to whom it may consider quick reminder nigeriadecides nigeriaelections nigeria ,"[1, 2]"
58,"So Major-General @MBuhari is about to hand over Nigeria to a US-indicted drug baron. 😭💔😪
#NigeriaDecides2023",so major general is about to hand over nigeria to us indicted drug baron nigeriadecides,"[2, 3]"
59,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/KouCaZoTtz", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation ,"[1, 2]"
60,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/mQ8L3rNDeo
via NaMo App", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,[1]
61,Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/mI3djktt5T #america #news #trump #infowars #freespeech #politics,rep jeff van drew democrats afraid donald trump will take out corruption if he wins in america news trump infowars freespeech politics,[2]
62,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/Og4xPlc4cM", pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation ,"[1, 2]"
