text,date,raw_text_length,year,month,cleaned_text,cleaned_text_length
"""Ah, yes. I just love waking up to the sweet aroma of political chaos and corruption in the morning. It's like a breath of fresh air...if that air was filled with hot garbage."" #politics #sarcasm",2023-04-03 11:36:44+00:00,35,2023,04, ah yes just love waking up to the sweet aroma of political chaos and corruption in the morning it like breath of fresh air if that air was filled with hot garbage politics sarcasm,34
"When @ViolavonCramon
flies to Georgia 🇬🇪 to take part in a protest to support a person accused of using molotov cocktails against the police, who pays her expenses?

#100corruptMEPs
#zombieNGOs #Corruption

@KubiliusA
@shpapuashvili
@AnnaFotyga_PE 

https://t.co/bS4NsgewiK",2023-04-03 11:36:05+00:00,35,2023,04,when flies to georgia to take part in protest to support person accused of using molotov cocktails against the police who pays her expenses corruptmeps zombiengos corruption pe ,28
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/lDZeRsplUK via @BreitbartNews,2023-04-03 11:31:36+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"It’s April 03, 2023 at 12:29PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/779xDOUZgE",2023-04-03 11:29:19+00:00,30,2023,04,it april at pm stop your period pain instantly and naturally with nuvapad no drugs experience your period better click gt gt gt atikugate obidatti nigeriadecides thepeoplestownhall ,27
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zlXcbSqXjv
via NaMo App",2023-04-03 11:29:14+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"Introducing our national colleagues who are working with us in Abuja since January. We are proud to have such talented team members on board!  Their work &amp; dedication have been invaluable to @eueomNigeria23. It’s been a pleasure working with you all!
#teamwork #NigeriaDecides2023 https://t.co/gLEhItLlFM",2023-04-03 11:28:28+00:00,44,2023,04,introducing our national colleagues who are working with us in abuja since january we are proud to have such talented team members on board their work amp dedication have been invaluable to it been pleasure working with you all teamwork nigeriadecides ,41
"#MondayMotivation #GetInvolved
Good governance requires our participation as citizens.

We can begin by condemning corruption and injustice, participating in local and national politics, staying informed and getting actively involved.

#NewWeek 👍💪 https://t.co/lgPsAqKxU3",2023-04-03 11:27:51+00:00,32,2023,04, mondaymotivation getinvolved good governance requires our participation as citizens we can begin by condemning corruption and injustice participating in local and national politics staying informed and getting actively involved newweek ,30
EXACTLY! DEMOCRATS ARE SHOWING THEIR FEAR OF FURTHER EXPOSURE OF THEIR CORRUPTNESS BECAUSE OF PRESIDENT TRUMP! Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/AeG8T9XXBG,2023-04-03 11:25:58+00:00,36,2023,04,exactly democrats are showing their fear of further exposure of their corruptness because of president trump exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,33
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/G0quqT4ixU
via NaMo App",2023-04-03 11:25:04+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
"2023 Elections: Nigeria’s Voter Turnout Drops To The Lowest  https://t.co/FUih61l6WI
#2023elections #NigerianElections2023 #NigeriaDecides2023",2023-04-03 11:24:27+00:00,13,2023,04, elections nigeria voter turnout drops to the lowest elections nigerianelections nigeriadecides,11
Senior officials to take over China’s football body amid corruption crackdown https://t.co/aa0VxUPMnU via @scmpnews,2023-04-03 11:21:42+00:00,14,2023,04,senior officials to take over china football body amid corruption crackdown via ,12
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/qsLgyZoodM via @BreitbartNews,2023-04-03 11:16:27+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/I9BUzmOYIE
via NaMo App",2023-04-03 11:14:46+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/9gPqpoVgbj,2023-04-03 11:13:17+00:00,20,2023,04,exclusive rep jeff van drew democrats afraid donald trump will take out corruption if he wins in ,17
"Judiciary is not the name of a judge and politics is not only for one party.
Imran should do corruption, defame institutions, attacks on courts, no notice Why is this Bandial's lover?
If the scales of justice will not be equal, then we pledge to Bandial 
#WeRejectOneManShow https://t.co/af3oxGJZc6",2023-04-03 11:12:50+00:00,48,2023,04,judiciary is not the name of judge and politics is not only for one party imran should do corruption defame institutions attacks on courts no notice why is this bandial lover if the scales of justice will not be equal then we pledge to bandial werejectonemanshow ,46
Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/0iKvOMD9JL via @BreitbartNews,2023-04-03 11:09:22+00:00,15,2023,04,exclusive rep jeff van drew democrats afraid of trump in via ,11
Power begets corruption on the City Council https://t.co/kHjFvFSgpq,2023-04-03 11:06:17+00:00,8,2023,04,power begets corruption on the city council ,7
Senior officials to take over China’s football body amid corruption crackdown https://t.co/RbXTegXc37,2023-04-03 11:05:12+00:00,12,2023,04,senior officials to take over china football body amid corruption crackdown ,11
"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/HtjumzWCr1
via NaMo App",2023-04-03 11:02:18+00:00,17,2023,04, pmatcbidiamondjubilee corruption and dynastic politics takes away the strength of society and nation via namo app,16
