,topic,document
0,0,"""Ah, yes. I just love waking up to the sweet aroma of political chaos and corruption in the morning. It's like a breath of fresh air...if that air was filled with hot garbage."" #politics #sarcasm"
1,0,"When @ViolavonCramon
flies to Georgia 🇬🇪 to take part in a protest to support a person accused of using molotov cocktails against the police, who pays her expenses?

#100corruptMEPs
#zombieNGOs #Corruption

@KubiliusA
@shpapuashvili
@AnnaFotyga_PE 

https://t.co/bS4NsgewiK"
2,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/lDZeRsplUK via @BreitbartNews
3,6,"It’s April 03, 2023 at 12:29PM
Stop Your Period Pain Instantly and Naturally with Nuvapad, No Drugs.

😍 Experience Your Period Better!
Click &gt;&gt;&gt; https://t.co/TXx3nTRHa6

#AtikuGate #ObiDatti2023 #NigeriaDecides2023 #ThePeoplesTownHall https://t.co/779xDOUZgE"
4,0,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/zlXcbSqXjv
via NaMo App"
5,4,"Introducing our national colleagues who are working with us in Abuja since January. We are proud to have such talented team members on board!  Their work &amp; dedication have been invaluable to @eueomNigeria23. It’s been a pleasure working with you all!
#teamwork #NigeriaDecides2023 https://t.co/gLEhItLlFM"
6,0,"#MondayMotivation #GetInvolved
Good governance requires our participation as citizens.

We can begin by condemning corruption and injustice, participating in local and national politics, staying informed and getting actively involved.

#NewWeek 👍💪 https://t.co/lgPsAqKxU3"
7,0,EXACTLY! DEMOCRATS ARE SHOWING THEIR FEAR OF FURTHER EXPOSURE OF THEIR CORRUPTNESS BECAUSE OF PRESIDENT TRUMP! Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/AeG8T9XXBG
8,0,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/G0quqT4ixU
via NaMo App"
9,4,"2023 Elections: Nigeria’s Voter Turnout Drops To The Lowest  https://t.co/FUih61l6WI
#2023elections #NigerianElections2023 #NigeriaDecides2023"
10,0,Senior officials to take over China’s football body amid corruption crackdown https://t.co/aa0VxUPMnU via @scmpnews
11,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/qsLgyZoodM via @BreitbartNews
12,0,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/I9BUzmOYIE
via NaMo App"
13,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/9gPqpoVgbj
14,4,"Judiciary is not the name of a judge and politics is not only for one party.
Imran should do corruption, defame institutions, attacks on courts, no notice Why is this Bandial's lover?
If the scales of justice will not be equal, then we pledge to Bandial 
#WeRejectOneManShow https://t.co/af3oxGJZc6"
15,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/0iKvOMD9JL via @BreitbartNews
16,0,Power begets corruption on the City Council https://t.co/kHjFvFSgpq
17,0,Senior officials to take over China’s football body amid corruption crackdown https://t.co/RbXTegXc37
18,0,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/HtjumzWCr1
via NaMo App"
19,0,"That’s well and good, but he should have made a far more aggressive effort doing that in 2017.

https://t.co/XBx7Em2E7c"
20,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid of Trump in 2024 https://t.co/HCWbS5qkpd via @BreitbartNews
21,0,"#PMAtCBIDiamondJubilee
Corruption and dynastic politics takes away the strength of society and nation
https://t.co/PhdpLLu5bj
via NaMo App"
22,4,#NigeriaDecides2023: Crisis should neither be foisted on Nigeria nor the country brought to an end even if the winner of the election was not the one declared elected.
23,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/HLxtUp7z8T
24,0,"""OUR MAGA #47 will Win and yes, take out DC Corruption"".......Ron  

""Democrats are afraid he will enter the Oval Office again because he will “let the truth ring out” and take down corruption in D.C."" 

https://t.co/cfMVKD9mCu"
25,0,A Corrupt Government Attacking a political enemy of its Corruption is an old story…Nelson Mandela  Donald Trump #MandelaTrump #GovernmentCorruption #politics #FJB #NancyPelosi https://t.co/9H1rovfNDC
26,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/3u6W3HTkKl
27,4,....#Nigerians now know the politicians &amp; bandits are in a joint enterprise or how else does anyone explain the suspension of much of the killing &amp; rapine during #NigeriaDecides2023? We now know why the violence is so chronic. https://t.co/cZ0VNWNYAJ
28,0,"The #Russian National Anti-Terrorism Committee revealed that the #Ukrainian Special Services and the supporters of the extremist Anti-Corruption Foundation (FBK) planned the terrorist attack. 

#Russia
#Trepova
#Tatarsky https://t.co/9niaPqa0IE"
29,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/v3Pf2jnw7O
30,0,"Fantastic panel on the politics of corruption with both quantitative and qualitative works from Hungary, Israel and Switzerland @irspm 

#IRSPM2023 https://t.co/sn4ZLzGJtw"
31,0,🚨 CORRUPTION MUST GO 🚨🇺🇲🇺🇲🇺🇲Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/PeY1bWMtSz
32,0,Exclusive — Rep. Jeff Van Drew: Democrats Afraid Donald Trump Will Take Out ‘Corruption’ if He Wins in 2024 https://t.co/BjjcVBaKaq
33,0,"I try my absolute best to stay out of politics and Wall Street, due to their corruption, and that for some reason, us sheeple can’t organize enough to stop it. Look at France… Like, yikes 😳 Yet, this second major bailout has been bothering me, because it’s just a pure example… https://t.co/7L3dTZWszP"
